SL,Botanical Name,Common Names,General Information,Known Hazards,Range,Habitat,Properties,Cultivation Details,Edible Uses,Medicinal,Other Uses,Propagation
40,Bauhinia purpurea,Kanchan,"Bauhinia purpurea is an erect, evergreen shrub or tree with a very bushy crown; it can grow 7 - 10 metres tall. The tree has a wide range of local uses, providing food, medicines and a range of commodities. It should also make an excellent pioneer species and is commonly cultivated as an ornamental through much of the tropics, being valued especially for its handsome flowers. The plant is classified as 'Least Concern' in the IUCN Red List of Threatened Species(2011).",None known,"E. Asia - India, Nepal, Bhutan, Pakistan, Sri Lanka, Myanmar, Thailand.","Common in the mixed and sal forests of the sub-Himalayan tract, ascending to 1,200 metres. It is characteristic of mixed deciduous forests, often of a dry type, occurring on hill slopes, in valleys, and along streams","Habit Evergreen Tree Height 8.00 m Growth Rate Fast Pollinators Bees Cultivation Status Cultivated, Ornamental, Wild","A plant of subtropical to tropical regions where it can usually be found at elevations from 500 - 2,000 metres, exceptionally to 3,000 metres. The mean annual temperature in its natural habitat ranges from 12 - 21°c; it experiences an absolute maximum shade temperature of 38 - 46°c and an absolute minimum of -1 - +9°c. Severe frost kills the leaves of seedlings and saplings, but they can recover during the growing season. It grows in areas with a mean annual rainfall in the range 1,000 - 5,000mm. Grows best in a sunny position. Prefers a fertile, moisture-retentive but well-drained, sandy, loamy or gravelly soil. The tree actually flowers best when growing on drier soils. The plant is commonly cultivated in the tropics, where it sometimes escapes from cultivation. There are reports that it can become established in some areas and has been reported as 'invasive' in some Pacific Islands. The growth of young plants is very rapid under favourable conditions. They have been known to attain heights of 3 metres within 12 months and to be almost 5 metres tall and flowering by the end of their second year. The pods develop quickly, some attaining a good length whilst the tree is still in flower. Although many species within the family Fabaceae have a symbiotic relationship with soil bacteria, this species is said to be devoid of such a relationship and therefore does not fix atmospheric nitrogen",Leaves - cooked and eaten as a vegetable.  Flower buds and flowers - cooked and eaten as a vegetable. The flower buds are often pickled or used in curries.  Young seedpods - cooked and eaten as a vegetable,"The root is carminative.  The flowers are laxative.  The bark, roots and flowers, when mixed with rice-water, are used in poultice form as a maturant. Agroforestry Uses: This tree should make an excellent pioneer with its ease of establishment, rapid growth and hardiness. Some thought should be given, however, to the possibility of it escaping from cultivation.","The plant yields a gum.  The bark is a source of tannins. It is also used for dyeing.  A fibre is obtained from the bark.  The wood is rosy-white in colour, turning brown upon exposure to the atmosphere. Fine and closely grained, it is hard and durable. It is used for carpentry and joinery when large enough; otherwise it is used for agricultural implements. The wood is used for fuel","Seed - it germinates readily, with up to 100% germinating after 14 months storage. Sow in a nursery seedbed in light shade. Germination is very rapid, with seedlings appearing within 4 - 10 days. Seedlings grow rapidly and, under good conditions, can be more than 1 metre tall within 2 months of germinating. The seedlings are somewhat difficult to transplant and so are best moved to their permanent positions whilst still small. If larger plants are moved then they should be pruned back to allow easier establishment. Layering Cuttings of half-ripe wood"
41,Cordia mixa,"Boal, Sapistan Plum","Sapistan plum is a large evergreen shrub or tree with a dense crown, that can grow up to 12 metres tall. The bole is stout and crooked. A multi-purpose tree, it is often harvested from the wild for local use as a food, medicine and source of materials. It has been cultivated for its many uses since the time of the ancient Egyptians, and is still sometimes cultivated nowadays for its edible and medicinal fruit in many areas of the tropics and subtropics",None known,E. Asia - Indian subcontinen,"Not known in a truly wild situation, it occurs spontaneously around villages and old abandoned habitations in west Africa, where it may at one time have been cultivated. Dry deciduous woodland, mainly on alluvial soil up to 1,500 metres","Habit Evergreen Shrub Height 12.00 m Pollinators Insects Cultivation Status Cultivated, Wild","Plants can succeed in warm temperate to tropical areas. It can tolerate some frost. Plants prefer a sunny position, but can tolerate moderate shade. Prefers a moist, freely-draining loamy soil. Established plants are drought tolerant. The plant often escapes from cultivation. This report does not make clear whether it invades and harms native environments. A fairly fast-growing pant, it can commence flowering when 3 - 5 years old. In arid regions in India, a plantation of eight year-old trees yielded on average 32.4 kg fruits per tree per year. Individual fruits weigh about 5g. Plants can be coppiced and pollarded. Dioecious, at least one male plant must be grown with 5 females in order to produce fruit and seed","Fruit - raw or cooked. The ripe fruit has a sweet, sticky, mucilaginous flesh, it can be mixed with honey to make a sweetmeat or to sweeten gruels and porridges. The unripe fruits are eaten as a vegetable. The ovoid fruit is about 35mm in diameter.  Seed - raw. It tastes somewhat like a filbert (Corylus maxima). The seed is oily, containing palmitic, stearic, olic and linoleic acids and ?-sitosterol .  Flowers - used as a vegetable.  Leaves and young shoots - cooked and used as a vegetable","The bark, leaves and fruit have medicinal properties, they are used variously as diuretics, demulcents and in the treatment of stomach aches, coughs and chest complaints.  The juice of the bark is taken internally in the treatment of fevers. Combined with coconut oil, it is taken to treat colic. The powdered bark is applied to the skin in cases of broken bones before a plaster is applied, to improve healing. Bark powder is used externally in the treatment of skin diseases.   A macerate of the leaves is used as a treatment for sleeping-sickness taken internally, and applied externally as a lotion to the fly-bites. The juice of the leaves is applied to the forehead to relieve headaches. The leaves are applied to wounds, sores and ulcers.   The sticky, mucilaginous pulp of the fruit is the source of a well-known medicine in the Near and Middle East. Called 'sapistan', it is useful in the treatment of coughs, sore throats and chest-complaints on account of its demulcent property. The fruit is also used externally as an emollient plaster to maturate abscesses, to calm rheumatic pain and as an antiparasitic on ringworm.   Stereols and a gum have been recorded in the leaves. The leaves and the fruits contain pyrrolizidine alkaloids, coumarins, flavonoids, saponins, terpenes and sterols. Agroforestry Uses: The plant is used in shelter-belts in semi-arid regions to prevent soil erosion. Used as a shade tree in coffee plantations in Yemen","A fibre obtained from the stem bark is used to make twine and cordage. The fibre is also used for caulking boats.  The leaves and fruits are used as dyes. There is a substance in the fruit that will stain linen, but not indelibly.  The fibrous bark is used for cordage.  The ash of the young branches is used to make soap.  The sticky, mucilaginous pulp of the fruit is used as a glue.  The wood has been used as fire-sticks.  The yellow-brown wood is soft but strong, easy to polish. It is used for furniture making, cabinet work, well curbs, boats and agricultural implements.","Seed - very slow to germinate, the process can be sped up if the seed is scarified by lightly abrading the seedcoat to allow easier ingress of water. Pre-soak the seed in cold water for 6 hours before sowing - a germination rate of 50 - 80% can be expected, with the seed sprouting within 40 - 60 days. Young plants can be planted in their permanent positions 4 - 6 months later. Cuttings."
42,Careya arborea,Kum,"Careya arborea is a deciduous, small to medium-sized tree growing up to 20 metres tall. The bole can be straight when the tree is growing in good conditions, but is often stunted in poor sites. The plant is a popolar herbal remedy in India, where it is often harvested from the wild for local use and trade. The tree also supplies a dye, fibre, gum, tannins and wood for local use. It is sometimes grown as a shade-providing ornamenta",The seeds are slightly poisonous,"E. Asia - Afghanistan, Pakistan, India, Sri Lanka, Nepal, Myanmar, Thailand, Laos, Malaysia","Scattered but locally common in primary or secondary, evergreen or deciduous, slightly seasonal forest, sometimes in more open country and along forest edges. It is absent from perhumid rain forest","Habit Deciduous Tree Height 20.00 m Cultivation Status Ornamental, Wild","Prefers a well-drained, sandy or even rocky soil. Requires a sunny position. In India the annual diameter increment can be up to 0.5 cm, but growth of coppice is faster, 0.6 - 0.9 cm in diameter for 8-year-old coppice shoots. The tree is highly fire resistant and coppices well.","The fruit is edible, but the seeds are reported as slightly poisonous. The fruit is a capsule up to 6cm in diameter with a leathery skin and a fleshy pulp","The fibrous bark has been applied medicinally for relieving body swellings.  The juice of the bark, and the calices of the flowers, are astringent and mucilaginous. They are often used internally in India for treating coughs and colds, and are applied externally as an embrocation.  An astringent gum exudes from the fruit and stem.  The pulped leaves are used as a poultice.  The bark of the tree and the sepals of the flowers are well-known Indian remedies, and are valued on account of their astringent and mucilaginous properties, being administered internally in coughs and colds and applied externally as an embrocation.","The fibrous bark contains a brown dye.  The bark yields a good fibre that is used locally for coarse cordage. It is also suitable for making brown paper and is used as a slow match to ignite gunpowder.  The bark is a source of tannins.  A gum is obtained from the tree.  The tree yields a medium-weight to heavy hard wood with a density of 770 kg/m cubic to over 1000 kg/m cubic at 15% moisture content. Heartwood pale red to dark red-brown in older trees, sapwood wide, pale reddish-white; grain straight; texture medium and even. Shrinkage of the wood is very high, so it should be seasoned slowly as it easily develops surface checks, end splits, and is very liable to warp and twist It is moderately hard and somewhat difficult to saw, but presents no difficulties when worked with hand and machine tools. It yields a smooth finish and a good polish. The wood is durable, especially under water.  The wood is used, mainly in India and Myanmar, for general construction (house posts, planking), furniture and cabinet work, carts, mouldings, turnery, piling and agricultural implements.",Seed - there is over 90% germination in 11 - 46 days.
43,Ficus neriifolia,Dimonu,Ficus neriifolia is a tree growing up to 15 metres tall. The plant is sometimes gathered from the wild for local use as food and medicine,None known,E. Asia - India to southwest China,"Broad-leaved evergreen forests at elevations of 1,700 - 2,900 metres in southwestern China",Habit Deciduous Tree Height 12.00 m Pollinators Wasps Cultivation Status Wild,"Fig trees have a unique form of fertilization, each species relying on a single, highly specialized species of wasp that is itself totaly dependant upon that fig species in order to breed. The trees produce three types of flower; male, a long-styled female and a short-styled female flower, often called the gall flower. All three types of flower are contained within the structure we usually think of as the fruit. The female fig wasp enters a fig and lays its eggs on the short styled female flowers while pollinating the long styled female flowers. Wingless male fig wasps emerge first, inseminate the emerging females and then bore exit tunnels out of the fig for the winged females. Females emerge, collect pollen from the male flowers and fly off in search of figs whose female flowers are receptive. In order to support a population of its pollinator, individuals of a Ficus spp. must flower asynchronously. A population must exceed a critical minimum size to ensure that at any time of the year at least some plants have overlap of emmission and reception of fig wasps. Without this temporal overlap the short-lived pollinator wasps will go locally extinct.",Fruits - raw. The fruits are 8 - 10cm in diameter,The latex from the plant is applied to boils on the tongue,"The white wood is moderately hard, close-grained, with narrow white wavy bands of soft texture alternating with belts of firmer wood. No uses are recorded for it.","Seed - germinates best at a temperature around 20°c. Air layering. Tip cuttings around 4 - 12cm long, taken from lateral branche"
44,Podocarpus neriifolius,"Jinari, Brown Pine","Podocarpus neriifolius is a large evergreen tree with a dome-shaped crown that usually grows from 5 - 30 metres tall but can reach a height of 40 metres or more. The straight, cylindrical bole, which can be branchless for up to 20 metres, is 10 - 100cm in diameter. The tree yields a valuable timber and so it is commonly harvested from the wild and traded internationally. It is sometimes also harvested from the wild for local use as a medicine and source of edible fruit. The tree is often grown as an ornamental, valued particularly for its beautiful shape. Despite some decline in certain parts of its huge range, e.g. In Nepal and China where the IUCN SSC China Plant Specialist Group assessed it as nationally Vulnerable, this species is too widespread and common in many places to be in danger of extinction. This species is classified as being of 'Least Concern' in the IUCN Red List of Threatened Species(2010",None known,"E. Asia - India, Sikkim, Nepal, Thailand, Laos, Indonesia, Philippines, Papua New Guinea","A subcanopy to occasional canopy tree in evergreen broadleaved forests. Hill and montane forests. Hot, humid forests, coastal and lowland swamp forests, on volcanic soils","Habit Evergreen Tree Height 25.00 m Growth Rate Medium Pollinators Wind Self-fertile No Cultivation Status Ornamental, Wild","Podocarpus neriifolius is found in humid subtropical to tropical areas at elevations from around sea level up to 2,100 metres, though its optimum is between 900 - 1,500 metres. It prefers a mean annual rainfall in the range 1,500 - 3,700mm with a uniformly distributed summer rain and up to 5 months of dry season. Optimal temperature range is 25 - 30°c with the coldest months having only between 8 - 24°c. Prefers a position in full sun or bright shade. Plants are shade tolerant, at least when young. Succeeds in a range of soils, preferring fertile, slightly acid conditions. Most species in this genus are tolerant of hard pruning, being able to regrow from old wood. Species in this genus are generally slow-growing. A dioecious species, both male and female forms need to be grown if fruit and seed are required.",Fruit - raw. The orange-red fruit is about 8 - 10 × 5 - 8mm.,A decoction of the leaves has been used as a treatment for rheumatism and arthritis. The juice from the leaves is prepared as a remedy against maggot infested sores. Agroforestry Uses: Plants are tolerant of pruning and can be grown as a large screen.,"The heartwood is greyish yellow or pale brown to golden brown; it is often not clearly demarcated from the paler  sapwood. It is fine and even-textured; close and straight-grained, lustrous. The wood is light in weight, fairly hard, not very durable when exposed but resistant to termites and insects. It is easy to saw, but softer boards show a tendency to crumble on end grain; it can be planed, shaped, turned, mortized, and sanded with good results and to a smooth finish; the results of boring are sometimes rated as moderate; generally the wood holds nails well, but large nails may cause some splitting; gluing, staining, varnishing and painting properties are stisfactory. A high quality timber, it is used for general carpentry, boat making, furniture, musical instruments, carvings etc. The wood is pulped for making paper.","Seed - generally slow to germinate, taking one year or more. Seeds that have passed through the gut of an animal germinate faster. Seeds have been known to germinate in the dense shade of a woodland. Cuttings should include an erect lead shoot if a good form is required. If side shoots are used, the resulting plant will be prostrate."
45,Quercus griffithii,Oak,"Trees to 25 m tall, deciduous. Branchlets yellowish gray pilose or pubescent, glabrescent. Petiole 0.5-1 cm, grayish brown shaggy; leaf blade obovate to obovate-elliptic, 10-20(-30) × 4-10 cm, abaxially densely with grayish stellate hairs, sometimes glabrescent, base rounded to narrowly cuneate, margin serrulate, apex shortly acuminate to acuminate; midvein abaxially with long simple hairs; secondary veins 12-18 on each side of midvein; tertiary veins abaxially conspicuous. Female inflorescences axillary on young shoots; cupules solitary or in fascicles of 2 or 3. Cupule cupular, 1.2-1.5 cm in diam., enclosing 1/3-1/2 of nut; bracts narrowly ovate-triangular. Nut ellipsoid to ovoid-ellipsoid, 1.5-2 × 0.8-1.2 cm; scar ca. 6 mm in diam., slightly raised; stylopodium ca. 1 mm in diam. Fr. Sep-Oct.",None known,"India, S.W. China, Laos, Vietnam, Myanmar, Sikkim, North Thailand, Buthan, Tibet; 1000 m to 3200 m","usually 4-8 m, but reaches 15-20 m;",,,,Not known,Not known,Not known
46,Shorea robusta,Sal,"Sal is an evergreen tree with an elongated crown when young, becoming more rounded as the tree ages. It can grow up to 50 metres tall in fertile soils, but is more likely to be 20 - 25 metres tall in poorer soils. The straight, cylindrical bole can be unbranched for up to 25 metres and up to 200cm in diameter. Sal is a very important multi-purpose tree. It is one of the main commercial timbers of India, being harvested from the wild for local use and export. It also yields a resin that is traded and an oil that is used locally as well as being exported in large quantities. It addition, it supplies tannins, an edible seed and medicines for local use. The leaves are used commercially for making plates and containers. The sal tree is often the dominant species in the forests of the sub-Himalayan tract, but overutilization of it for fuel, timber, fodder etc is becoming a cause for conservation concern in some areas. It is classified as being of 'Least Concern' in the IUCN Red List of Threatened Species(2010)",None known,]E. Asia - Indian subcontinent to south-western China[,"A rare plant in China, it is gregarious in savannah woodlands at elevations below 800 metres in south-eastern Xizang. Often the main tree in forests of Nepal at elevations up to 1,400 metres",Habit Evergreen Tree Height 40.00 m Growth Rate Fast Self-fertile No Cultivation Status Wild,"A plant of the tropics, where it is found at elevations up to 2,000 metres. It grows best in areas where annual daytime temperatures are within the range 28 - 34°c, but can tolerate 7 - 47°c. The plant can survive temperatures down to about -1°c. It prefers a mean annual rainfall in the range 1,500 - 3,500mm, but tolerates 1,000 - 7.300mm. There is usually a dry season of 4 - 8 months. Prefers a position in full sun, but tolerates light shade. Succeeds in most well-drained, fertile soils, though it prefers a moist sandy loam with good subsoil drainage. Prefers a pH in the range 5 - 6.7, tolerating 4.5 - 7.5. Young trees grow quickly, developing a long taproot at a very young age and attaining top heights of up to 6 metres after 6 years. Fruit and seed bearing begins around the age of 15 years, the tree then bears fruit regularly every 2 years or so, and a good seed-bearing year can be expected every 3 - 5 years. The tree responds well to coppicing. Rotations of 30 - 40 years are used when coppice regeneration is practised, and 80 - 160 years for high forest regeneration. The tree is very tolerant of forest fires, usually surviving them if not too small.","Seed - roasted. The seeds are boiled into a porridge with the flowers of Bassia latifolia and the fruits of Dolichos biflorus. They can be ground into a coarse flour that is used to make bread, and the plant is used as a famine food. A de-fatted kernel powder, popularly known as sal seed cake, contains about 50% starch, in addition to proteins, tannins and minerals. The physico-chemical property of the starch can be exploited for preparing canned food products. The chemical composition of the seeds consists of 10.8% water, 8% protein, 62.7% carbohydrate, 14.8% oil, 1.4% fibre and 2.3% ash.  The seeds are a source of 'sal butter', an oil that is used in cooking like ghee and as a substitute for cocoa butter in making chocolate.   Fruit - occasionally eaten.","The resin is valued for its use in the treatment of dysentery, gonorrhoea, boils and toothaches.  The leaf juice is used in the treatment of dysentery. The leaves are warmed and used as a poultice on areas of the body that are swollen. They have a quick effect. They are also applied to the stomach of children with dysentery.  The oil from the seed is used to treat skin diseases.","When tapped, the tree exudes large quantities of a whitish, aromatic, transparent resin known as 'lal dhuna'. It is used to caulk boats and ships and as incense. In some places in the Upper Tista forests of the Darjeeling District, large pieces, often 450 - 600 cubic centimetres in size, are found in the ground at the foot of the trees.  The leaves are widely used for making plates, cups and for wrapping.  An oil obtained from the seed is used for illumination.  The bark is a source of tannins.  The heartwood is a dark, reddish brown; the thin band of sapwood whitish. The grain is strongly spiralled and rather coarsely structured. The wood is hard, heavy, very durable and highly resistant to termite attack. Seasoning can present problems. The wood is easy to saw, but because of its high resin content, it is difficult to plane and turn; it has a tendency to split when nails are driven into it. This important Indian hardwood is especially well suited for constructing structures subject to heavy stress in houses etc, it is also used in hydraulic engineering, ships and railway cars, poles, railway ties and posts, simple interior finishing such as window frames and floors, and many other applications. For making household or agricultural implements, the coppice shoots are used. The wood is an important local source of fuel.","We have no specific information for this species - the information below is a general guide for the genus.  Seed - best sown as soon as possible. It does not require pre-treatment, but it is recommended to soak the seed for 12 hours prior to sowing. The seeds are sown in seedbeds, where they are covered with a mixture of sand and soil (1:1) or with a thin layer of sawdust. Germination of fresh seeds is usually good and rapid. About two weeks after germination, when the seedlings are 5 - 6cm tall, they are potted up into individual containers about 15 x 23cm with good drainage holes at their base. It is normally recommended to use a mixture of forest soil and sand (at a ratio of 3:1) as the potting medium in order to introduce the appropriate mycorrhiza to the roots. The seedlings are placed in 50 - 60% sunlight and watered twice daily. Seedlings can be planted out when 30 - 40cm tall - harden the seedlings off in full sunlight for one month prior to planting."
47,Semecarpus anacardium,Marking Nut Tree,"Marking nut tree is a small to medium-sized tree that can reach a height of 25 metres, but is usually smaller. Possibly best known for its use in making a permanent marking ink, this multi-purpose tree also provides food, medicines, oil etc. It is often cultivated as an ornamental plant in the tropics","The shell surrounding the seed contains a strongly irritant substance. If this is the same as for the related cashew nut, then it will be destroyed by roasting. The plant is poisonous to the touch in the same manner as poison ivy (Toxicodendron spp), bringing the skin up in a severe rash.","E. Asia - Indian subcontinent, east to Australia","On hill slopes, usually at elevations between 500 - 1,000 metres","Habit Tree Height 25.00 m Self-fertile No Cultivation Status Ornamental, Wild","Plants are adaptable to a variety of tropical and subtropical conditions. An easily grown plant requiring very little attention once established, it succeeds in soils that are too poor to support other crops. Tolerates a pH in the range 4.5 - 6.5. Dioecious - both male and female forms need to be grown if fruits and seed are required","Care needs to be exercised when using this food since, like the related cashew nut, an oil from the shell has a strong irritant effect upon the skin.  Seed. Roasted. Almond-like.  Young fruits are pickled. The roasted fruit rinds are eaten by local people. The pulp of the pedicels is roasted and eaten.","Ripe fruits are aphrodisiac, digestive and stimulant. A paste or juice of the fruit is used in the treatment of bronchitis, dysentery, fever, asthma and haemorrhoids.  The pure black acrid juice obtained from the fruits is used externally to remove rheumatic pains, aches and sprains. A little of the oil is rubbed over the parts affected - it is an efficacious remedy except in such constitutions as are subject to inflammations and swellings. Mixed with garlic and other substances, the juice is used in the treatment of almost every sort of venereal complaint.   The bark is mildly astringent.  A paste of the seed, mixed with honey, is used in the treatment of gastric troubles. The juice of the seeds is applied externally in the treatment of ringworm and severely chapped feet. The juice of the seeds has been tested as a possible anticancer agent.  An oil obtained from the seeds is used to treat skin eruptions.  The juice of the root is considered to be effective in causing sterility in women.  The latex is applied externally in the treatment of headaches, skin diseases and scabies","The rind surrounding the seed furnishes a sort of indelible ink. The juice of the pedicels, mixed with lime water, is used as a black marking ink to write on cloth. The report is not clear which type of lime water is referred to, whether it is the acid juice of the lime fruit, Citrus aurantifolia; or an alkaline mixture of water and calcium hydroxide.  A black dye is obtained from the pedicels.  The seeds are a source of tannins.  An oil obtained from the seeds is used for various industrial purposes such as a floor dressing; as additive substances to lacquers, dyes and insulating material; in the plastics industry; for regenerating rubber materials; and to protect wood from white ants.  A gum is obtained from the tree.  The wood contains an acrid juice which renders it dangerous to those who work upon it. The wood is used to make charcoal.",Seed
48,Mallotus nudiflorus,Bhura,"Mallotus nudiflorus is a deciduous tree growing up to 30 metres tall. The straight bole can be 50 - 80cm in diameter, it is often short, but on good sites can be long, it is often much buttressed at the base",None known,"E. Asia - China, India, Sri Lanka, Nepal, Bangladesh, Myanmar, Thailand, Laos, Vietnam, Malaysia, Indonesia, Philippines.","Deciduous to evergreen forest, usually disturbed and (partly) open sites, usually near streams and rivers, often on alluvial, but also on dry ground; bedrock varying (granite to limestone to shale to quartzite), at elevations up to 1,200 metres[327",Habit Deciduous Tree Height 25.00 m Self-fertile No Cultivation Status Wild,"A plant of the moist to wet tropics, where it is found at elevations up to metres. It grows best in areas where annual daytime temperatures are within the range 25 - 37°c, but can tolerate 12 - 42°c. When dormant, the plant can survive temperatures down to about -5°c, but young growth can be severely damaged at 0°c. It prefers a mean annual rainfall in the range 2,000 - 4,000mm, but tolerates 1,000 - 5,100mm. Prefers a position in full sun, tolerating light shade. Succeeds in a fertile, moist to wet soil, preferring sandy to loamy soils but tolerating clayey soils. Prefers a pH in the range 5.5 - 6.5, tolerating 4.5 - 7.   Yearly volume production potential of the wood is about 15 - 30 cubic metres per hectare.",None known,"The plant is used to remove swellings, bile and phlegm.  A decoction of the root is used to relieve flatulence. Applied externally, the root decoction is used to relieve gout and rheumatic affliction","The white wood is soft, not durable. The wood is a good one for purposes for which a soft wood is required but, like most of the soft white woods, it has to be cut up when green and seasoned in dry air if it is to retain its white colour and not get discoloured of a muddy grey. It is used for drums and for agricultural implements",Seed
49,Callicarpa arborea,Maksi,"Callicarpa arborea is an evergreen tree that can grow up to 20 metres tall. The tree is harvested from the wild for local use as a food, medicine and source of materials. It is grown as a pioneer species in reforestation projects in Thailand",None known,"E. Asia - China, Pakistan, India, Sri Lanka, Nepal, Bangladesh, Myanmar, Thailand, Cambodia, Laos, Vietnam, Malaysia, Indonesia, Philippines, New Guin","Rain forests. Mixed forests on mountain slopes; at elevations from 1,000 - 2,500 metres in China",Habit Evergreen Tree Height 15.00 m Growth Rate Fast Cultivation Status Wild,Species in this genus generally require a sunny position or light dappled shade. Prefers a highly fertile well-drained loamy soil. Requires cross-pollination for good fruit production. Plants in this genus are notably resistant to honey fungus. A fast-growing tree.,Fruit - raw. The purplish-black fruit is around 2mm in diameter[266,"The bark is carminative, digestive and tonic. It is used to stimulate the digestion and also in the treatment of skin complaints. The juice of the bark, combined with the bark juice of Cordia dichotoma and Psidium guajava, is used to treat indigestion. The powdered bark, combined with a pinch of tumeric (Curcuma longa) is used to relieve fevers. A decoction of the leaves is used as a wash to treat cutaneous diseases.  A decoction of the leaves is taken to relieve a stomachache. The leaves are used as a poultice to heal sores.  The root is astringent and haemostatic. It is used as a decoction to treat internal bleeding. Applied externally, the dried powdered roots are used to treat cuts, wounds, bleeding piles etc. The root is chewed to treat boils on the tongue.  The plant is used to treat in?uenza.  To date, the pharmacological property of this plant is unexplored. Note that diterpenes are reported from the genus - some of them should be antiin?ammatory. Agroforestry Uses: The tree is grown as a pioneer species in reforestation projects in Thailand.",The wood is used to make utensils,"Seed - sow in a nursery seedbed and only just cover the seed. Germination usually takes place within 1 - 3 months at 18°c. When large enough to handle, prick the seedlings out into individual pots and grow them on until large enough to plant out Cuttings of half-ripe wood 10cm long in a frame. High percentage. Cuttings of mature wood of the current season's growth with a heel."
